Model	config_file	seed	epoch
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	55	0.0	0.223	nan	0.0	0.0	0.196	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	56	0.0	0.196	nan	0.0	0.0	0.301	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	57	0.0	0.105	nan	0.0	0.0	0.301	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	58	0.0	0.196	nan	0.0	0.0	0.196	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	59	0.0	0.131	nan	0.0	0.0	0.223	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	60	0.0	0.223	nan	0.001	0.0	0.21	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	61	0.0	0.301	nan	0.001	0.0	0.183	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	62	0.0	0.21	nan	0.001	0.0	0.249	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	63	0.0	0.288	nan	0.0	0.0	0.183	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	64	0.0	0.288	nan	0.0	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	65	0.0	0.21	nan	0.0	0.0	0.131	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	66	0.0	0.275	nan	0.0	0.0	0.183	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	67	0.0	0.157	nan	0.0	0.0	0.275	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	68	0.0	0.118	nan	0.001	0.0	0.249	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	69	0.0	0.17	nan	0.001	0.0	0.249	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	70	0.0	0.131	nan	0.001	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	71	0.0	0.262	nan	0.001	0.0	0.275	nan	0.002
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	72	0.0	0.236	nan	0.001	0.0	0.223	nan	0.003
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	73	0.0	0.144	nan	0.002	0.0	0.196	nan	0.004
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	74	0.0	0.144	nan	0.004	0.0	0.21	nan	0.006
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	75	0.0	0.249	nan	0.005	0.0	0.21	nan	0.006
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	76	0.0	0.236	nan	0.004	0.0	0.196	nan	0.006
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	77	0.0	0.236	nan	0.004	0.0	0.354	nan	0.006
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	78	0.0	0.131	nan	0.004	0.0	0.288	nan	0.005
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	79	0.0	0.118	nan	0.004	0.0	0.183	nan	0.005
