,index,epoch,Metric
123,xception_CosFace_SGD_0.1_cosine,10,0.2162745098039216
124,cspdarknet53_MagFace_SGD,10,0.8961764705882354
125,cspdarknet53_CosFace_SGD,10,0.7883333333333333
126,tnt_s_patch16_224_CosFace_SGD,10,0.7582352941176471
127,twins_svt_large_ArcFace_AdamW,10,0.3495098039215686
128,xception_MagFace_SGD_0.1_cosine,10,0.17542483660130714
129,vgg19_bn_CosFace_AdamW_0.001_cosine,10,0.21303921568627449
130,ese_vovnet39b_CosFace_SGD_0.1_cosine,10,0.08656862745098037
131,visformer_small_MagFace_AdamW_0.001_cosine,10,0.9914052287581699
132,fbnetv3_g_CosFace_Adam,10,0.9900326797385621
133,jx_nest_base_CosFace_AdamW_0.001_cosine,10,0.050065359477124205
134,gluon_xception65_ArcFace_SGD_0.1_cosine,10,0.2920261437908497
135,twins_svt_large_MagFace_AdamW_0.001_cosine,10,1.0
136,Checkpoints_Edges_258_LR_0.1404172769842098_Head_CosFace_Optimizer_SGD,10,0.07395424836601305
137,ese_vovnet39b_CosFace_AdamW,10,0.4873202614379085
138,dla102x2_CosFace_AdamW_0.001_cosine,10,0.11669934640522872
139,gluon_xception65_MagFace_AdamW,10,0.27098039215686276
140,ghostnet_100_CosFace_AdamW,10,0.45258169934640524
141,convit_base_MagFace_SGD_0.1_cosine,10,1.0
142,ghostnet_100_ArcFace_AdamW_0.001_cosine,10,0.9026797385620915
143,inception_v4_CosFace_SGD,10,0.527843137254902
144,tf_efficientnet_b7_ns_CosFace_SGD_0.1_cosine,10,0.13607843137254905
145,swin_base_patch4_window7_224_MagFace_SGD_0.1_cosine,10,0.27656862745098043
146,mobilenetv3_large_100_MagFace_SGD_0.1_cosine,10,1.0
147,ig_resnext101_32x8d_ArcFace_SGD_0.1_cosine,10,0.26640522875816997
148,ig_resnext101_32x8d_ArcFace_AdamW_0.001_cosine,10,0.3748039215686274
149,inception_v4_CosFace_SGD_0.1_cosine,10,0.41866013071895425
150,vgg19_bn_MagFace_AdamW_0.001_cosine,10,0.375
151,twins_svt_large_MagFace_AdamW,10,0.3016339869281046
152,resnetrs101_MagFace_SGD_0.1_cosine,10,0.2712418300653595
153,visformer_small_ArcFace_AdamW_0.001_cosine,10,1.0
154,xception65_MagFace_SGD,10,0.23869281045751634
155,rexnet_200_ArcFace_SGD_0.1_cosine,10,0.3386928104575163
156,cspdarknet53_CosFace_SGD_0.1_cosine,10,0.06542483660130716
157,tf_efficientnet_b7_ns_MagFace_SGD,10,0.49807189542483665
158,dpn107_MagFace_AdamW_0.001_cosine,10,0.30176470588235293
159,convit_base_ArcFace_SGD,10,0.7491176470588236
160,ese_vovnet39b_ArcFace_AdamW,10,0.21447712418300657
161,tf_efficientnet_b7_ns_MagFace_AdamW,10,1.0
162,ese_vovnet39b_CosFace_Adam,10,0.7513725490196078
163,inception_v4_ArcFace_AdamW_0.001_cosine,10,0.3498366013071895
164,cspdarknet53_ArcFace_AdamW_0.001_cosine,10,0.24810457516339868
165,dla102x2_ArcFace_AdamW,10,0.16885620915032684
166,mobilenetv3_large_100_CosFace_SGD,10,0.22725490196078435
167,tf_efficientnet_b7_ns_MagFace_SGD_0.1_cosine,10,0.5780392156862746
168,inception_v4_MagFace_SGD,10,0.5693790849673203
169,jx_nest_base_CosFace_AdamW,10,0.07313725490196077
170,visformer_small_MagFace_SGD,10,1.0
171,selecsls60b_ArcFace_SGD_0.1_cosine,10,0.33715686274509804
172,gluon_inception_v3_ArcFace_SGD,10,0.2498039215686274
173,mobilenetv3_large_100_ArcFace_AdamW,10,1.0
174,xception65_MagFace_SGD_0.1_cosine,10,0.2440522875816994
175,coat_lite_small_MagFace_SGD_0.1_cosine,10,1.0
176,dla102x2_MagFace_AdamW,10,0.11859477124183004
177,xception_MagFace_SGD,10,0.15650326797385616
178,gluon_xception65_ArcFace_SGD,10,0.2920261437908497
179,selecsls60b_MagFace_SGD_0.1_cosine,10,0.25349673202614376
180,twins_svt_large_ArcFace_AdamW_0.001_cosine,10,1.0
181,hrnet_w64_MagFace_SGD_0.1_cosine,10,0.16571895424836602
182,convit_base_ArcFace_AdamW_0.001_cosine,10,0.8924836601307189
183,tnt_s_patch16_224_MagFace_SGD_0.1_cosine,10,1.0
184,vgg19_bn_ArcFace_SGD,10,0.31300653594771244
185,twins_svt_large_ArcFace_SGD,10,0.8000653594771242
186,vgg19_bn_CosFace_SGD,10,0.26513071895424833
187,ghostnet_100_MagFace_AdamW_0.001_cosine,10,0.5846078431372549
188,vgg19_ArcFace_SGD_0.1_cosine,10,0.2573856209150327
189,tf_efficientnet_b7_ns_ArcFace_AdamW,10,0.29843137254901964
190,xception_MagFace_AdamW,10,0.1909803921568628
191,fbnetv3_g_CosFace_AdamW_0.001_cosine,10,0.27169934640522875
192,tnt_s_patch16_224_CosFace_SGD_0.1_cosine,10,1.0
193,tf_efficientnet_b7_ns_MagFace_AdamW_0.001_cosine,10,0.35787581699346405
194,rexnet_200_ArcFace_SGD,10,0.1576797385620915
195,hrnet_w64_CosFace_AdamW,10,0.21771241830065358
196,fbnetv3_g_ArcFace_AdamW_0.001_cosine,10,0.5372549019607843
197,dpn107_MagFace_SGD_0.1_cosine,10,0.07999999999999996
198,coat_lite_small_MagFace_SGD,10,0.7175816993464053
199,ghostnet_100_ArcFace_SGD,10,0.4172549019607843
200,fbnetv3_g_MagFace_AdamW,10,0.6717647058823529
201,tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine,10,0.4970588235294118
202,visformer_small_CosFace_AdamW,10,0.9934313725490196
203,coat_lite_small_CosFace_AdamW_0.001_cosine,10,0.04712418300653598
204,inception_resnet_v2_CosFace_AdamW,10,0.5569934640522876
205,twins_svt_large_CosFace_SGD_0.1_cosine,10,1.0
206,xception_ArcFace_AdamW_0.001_cosine,10,0.3281372549019608
207,tnt_s_patch16_224_MagFace_SGD,10,0.8673856209150327
208,visformer_small_CosFace_SGD_0.1_cosine,10,0.9933006535947713
209,hrnet_w64_ArcFace_AdamW,10,0.2862418300653595
210,selecsls60b_MagFace_AdamW_0.001_cosine,10,1.0
211,cspdarknet53_MagFace_AdamW,10,0.36196078431372547
212,legacy_senet154_CosFace_SGD_0.1_cosine,10,0.16571895424836602
213,coat_lite_small_CosFace_Adam,10,0.5926797385620914
214,tnt_s_patch16_224_CosFace_AdamW,10,0.04774509803921567
215,selecsls60b_CosFace_AdamW,10,0.24620915032679735
216,inception_v4_MagFace_SGD_0.1_cosine,10,0.40941176470588236
217,selecsls60b_CosFace_SGD_0.1_cosine,10,0.222843137254902
218,xception_ArcFace_SGD_0.1_cosine,10,0.22186274509803916
219,swin_base_patch4_window7_224_ArcFace_SGD,10,0.9715686274509804
220,gluon_inception_v3_CosFace_Adam,10,
221,resnetrs101_ArcFace_SGD,10,1.0
222,ese_vovnet39b_ArcFace_SGD,10,0.21088235294117652
223,inception_resnet_v2_CosFace_AdamW_0.001_cosine,10,0.1408169934640523
224,hrnet_w64_MagFace_AdamW,10,0.21869281045751632
225,coat_lite_small_CosFace_AdamW,10,0.07333333333333336
226,gluon_inception_v3_MagFace_AdamW,10,0.3075490196078431
227,legacy_senet154_MagFace_AdamW_0.001_cosine,10,0.27875816993464053
228,fbnetv3_g_CosFace_SGD,10,0.12986928104575168
229,legacy_senet154_ArcFace_AdamW,10,0.24111111111111116
230,vgg19_MagFace_SGD,10,1.0
231,inception_v4_ArcFace_SGD_0.1_cosine,10,1.0
232,convit_base_CosFace_SGD_0.1_cosine,10,1.0
233,visformer_small_ArcFace_AdamW,10,0.9919281045751634
234,resnetrs101_MagFace_AdamW_0.001_cosine,10,0.24862745098039218
235,dpn107_MagFace_AdamW,10,0.3252287581699347
236,twins_svt_large_CosFace_adamw,10,0.06977124183006533
237,twins_svt_large_CosFace_AdamW,10,0.07398692810457519
238,legacy_senet154_CosFace_AdamW_0.001_cosine,10,0.21303921568627449
