,index,epoch,Error,Disparity,model
3,ese_vovnet39b_ArcFace_AdamW_rank_by_id_val,99,0.23363017286537455,0.3274575566128487,ese_vovnet39b
184,ese_vovnet39b_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.1433342063907805,0.06890938686923498,ese_vovnet39b
250,ese_vovnet39b_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3231403876375065,0.3366259521683794,ese_vovnet39b
229,ese_vovnet39b_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.29891304347826086,0.3996969641650998,ese_vovnet39b
18,ese_vovnet39b_CosFace_AdamW_rank_by_id_val,99,0.4927317967522263,0.36368169244832793,ese_vovnet39b
220,ese_vovnet39b_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.3575825039287585,0.40876344324620184,ese_vovnet39b
257,ese_vovnet39b_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.11674960712414877,0.38678362868771654,ese_vovnet39b
38,ese_vovnet39b_CosFace_Adam_rank_by_id_val,99,0.984088528025144,0.18097323262746545,ese_vovnet39b
33,ese_vovnet39b_MagFace_AdamW_rank_by_id_val,99,0.19080670508119435,0.37525556870762944,ese_vovnet39b
222,ese_vovnet39b_MagFace_SGD_rank_by_id_val,99,0.34435568360398117,0.4336847605581853,ese_vovnet39b
52,ese_vovnet39b_CosFace_SGD_rank_by_id_val,99,0.12310110005238345,0.36396282726324214,ese_vovnet39b
211,ese_vovnet39b_ArcFace_SGD_rank_by_id_val,99,0.3326348873755893,0.39531614375733914,ese_vovnet39b
198,ese_vovnet39b_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.3109612362493452,0.42156404073847487,ese_vovnet39b
15,fbnetv3_g_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.5615505500261917,0.5205335843647372,fbnetv3_g
173,fbnetv3_g_MagFace_SGD_rank_by_id_val,99,0.44440806705081193,0.4293822220407496,fbnetv3_g
144,fbnetv3_g_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.4066919853326349,0.3572100426886622,fbnetv3_g
10,fbnetv3_g_ArcFace_SGD_rank_by_id_val,99,0.3662257726558408,0.448064859415257,fbnetv3_g
29,fbnetv3_g_CosFace_SGD_rank_by_id_val,99,0.19545573598742796,0.22407999344316043,fbnetv3_g
60,fbnetv3_g_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.16644840230487165,0.19255844583470527,fbnetv3_g
221,fbnetv3_g_CosFace_AdamW_rank_by_id_val,99,0.6063383970665269,0.35979250191761747,fbnetv3_g
54,fbnetv3_g_CosFace_Adam_rank_by_id_val,99,0.9956783656364588,0.03112304020328427,fbnetv3_g
129,fbnetv3_g_MagFace_AdamW_rank_by_id_val,99,0.26990570979570455,0.4232736858566226,fbnetv3_g
188,fbnetv3_g_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.38069669984284965,0.09899861103529428,fbnetv3_g
244,fbnetv3_g_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.39831063383970666,0.354628271442909,fbnetv3_g
85,fbnetv3_g_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.38829229963331585,0.33493654610824064,fbnetv3_g
155,ghostnet_100_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.9431639601885804,0.40325915456495054,ghostnet_100
338,ghostnet_100_MagFace_AdamW_rank_by_id_val,99,0.4677187008905186,0.5157493408081335,ghostnet_100
283,ghostnet_100_ArcFace_SGD_rank_by_id_val,99,0.9962022001047669,0.10130902856301383,ghostnet_100
294,ghostnet_100_MagFace_SGD_rank_by_id_val,99,0.5693425877422734,0.422230542925916,ghostnet_100
322,ghostnet_100_ArcFace_AdamW_rank_by_id_val,99,0.9960712414876899,0.052947537162403635,ghostnet_100
311,ghostnet_100_CosFace_sgd_rank_by_id_val,99,0.19938449449973808,0.16292246520874754,ghostnet_100
108,ghostnet_100_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.6428103719224725,0.36051924211630504,ghostnet_100
8,gluon_inception_v3_CosFace_Adam_rank_by_id_val,99,0.9962676794133054,0.09742244161466251,gluon_inception_v3
40,gluon_inception_v3_ArcFace_AdamW_rank_by_id_val,99,0.28097171293871137,0.37591352009744217,gluon_inception_v3
24,gluon_inception_v3_ArcFace_SGD_rank_by_id_val,99,0.2893530644316396,0.42945091811060154,gluon_inception_v3
147,gluon_inception_v3_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.3863933996856993,0.40908675977726483,gluon_inception_v3
241,gluon_inception_v3_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.44178889470927185,0.3387041797446422,gluon_inception_v3
32,gluon_inception_v3_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.27691199580932424,0.18124244225369424,gluon_inception_v3
105,gluon_inception_v3_MagFace_SGD_rank_by_id_val,99,0.3062467260345731,0.38480289733946227,gluon_inception_v3
182,gluon_inception_v3_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.3553562074384494,0.2997736708784867,gluon_inception_v3
49,gluon_inception_v3_CosFace_AdamW_rank_by_id_val,99,0.5481272917757989,0.3707472320588103,gluon_inception_v3
62,gluon_inception_v3_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.3713986380303824,0.20659301300418786,gluon_inception_v3
80,gluon_inception_v3_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.33708748035620745,0.32052469888330826,gluon_inception_v3
223,gluon_inception_v3_MagFace_AdamW_rank_by_id_val,99,0.23703509690937663,0.4156774256842931,gluon_inception_v3
68,gluon_inception_v3_CosFace_SGD_rank_by_id_val,99,0.27219748559455215,0.18886190672361824,gluon_inception_v3
106,gluon_xception65_MagFace_SGD_rank_by_id_val,99,0.35954688318491357,0.3910743745429188,gluon_xception65
66,gluon_xception65_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3748035620743845,0.3981040396341463,gluon_xception65
208,gluon_xception65_ArcFace_SGD_rank_by_id_val,99,0.3821372446306967,0.41185178402466205,gluon_xception65
