Model	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
resnetblur50	222	-1	0.0	6.915	8.45	1.847	0.0	5.932	7.896	1.732
resnetrs50	222	-1	0.0	4.924	6.722	1.151	0.0	4.597	6.2	1.07
mobilenetv2_100	222	1	0.0	0.917	22.614	2.442	0.0	0.524	20.987	1.894
mobilenetv3_rw	222	1	0.0	14.419	9.654	3.432	0.0	11.079	7.425	2.786
efficientnet_b2	222	2	0.0	3.222	21.821	3.756	0.0	2.37	21.421	3.087
gcresnext50ts	222	1	0.0	5.631	18.563	3.142	0.0	4.872	18.573	2.727
resnetv2_101x1_bitm_in21k	222	-1	0.0	1.65	13.149	4.546	0.0	1.152	13.118	4.48
gcresnext26ts	222	2	0.0	18.426	25.342	12.201	0.0	14.628	25.138	11.17
cspdarknet53	222	1	0.0	2.423	13.146	0.569	0.0	1.65	13.932	0.524
ecaresnet50d_pruned	222	2	0.0	5.055	14.333	2.499	0.0	5.605	12.798	2.817
resnext50d_32x4d	222	-1	0.0	5.107	6.518	1.264	0.0	5.199	5.969	1.183
semnasnet_075	222	-1	0.0	10.555	4.924	1.645	0.0	8.958	4.676	1.529
ssl_resnet18	222	-1	0.0	5.88	9.801	1.983	0.0	5.684	9.09	1.834
ecaresnet50t	222	1	0.0	7.792	18.859	5.432	0.0	7.163	21.187	5.857
gluon_resnet50_v1b	222	1	0.0	6.299	19.596	5.208	0.0	5.932	18.947	4.576
efficientnet_em	222	2	0.0	2.737	21.75	2.852	0.0	2.122	20.293	2.337
regnety_016	222	1	0.0	5.33	16.107	3.091	0.0	4.636	16.735	2.758
mobilenetv3_rw	222	2	0.0	31.443	9.653	5.426	0.0	22.093	8.712	4.71
legacy_seresnet34	222	2	0.0	8.827	22.657	5.533	0.0	6.823	20.954	4.844
mobilenetv2_100	222	2	0.0	1.716	20.483	3.094	0.0	0.838	19.84	2.302
ecaresnetlight	222	2	0.0	11.328	22.32	7.847	0.0	9.167	21.776	7.349
tf_efficientnet_el	222	-1	0.0	11.001	3.196	1.156	0.0	9.822	3.087	1.091
tf_efficientnetv2_b0	222	-1	0.0	10.856	45.326	14.584	0.0	10.162	40.505	11.755
tf_mobilenetv3_large_075	222	-1	0.0	11.996	16.392	6.059	0.0	9.639	15.386	5.395
tf_mixnet_l	222	-1	0.0	14.995	10.785	3.947	0.0	10.948	10.066	3.45
semnasnet_075	222	0	0.0	0.419	13.331	0.829	0.0	0.432	14.058	0.823
ssl_resnet18	222	0	0.0	4.754	17.829	3.073	0.0	3.798	17.521	2.646
tf_mobilenetv3_small_075	222	-1	0.0	10.974	15.03	5.676	0.0	9.259	13.952	5.093
resnetblur50	222	0	0.0	3.182	22.219	3.981	0.0	3.038	21.933	3.742
gcresnext50ts	222	2	0.0	12.14	17.314	4.504	0.0	9.481	17.44	4.134
resnet101d	222	0	0.0	5.173	25.911	5.879	0.0	4.898	24.816	5.53
resnetrs50	222	0	0.0	3.3	23.261	3.565	0.0	3.235	22.795	3.45
regnety_016	222	2	0.0	12.258	15.103	5.144	0.0	7.897	15.659	4.246
tf_mobilenetv3_small_075	222	0	0.0	1.794	9.198	0.879	0.0	1.296	7.82	0.814
tf_efficientnetv2_b0	222	0	0.0	3.942	29.827	5.351	0.0	3.182	29.781	5.151
ssl_resnet18	222	1	0.0	8.25	16.662	4.818	0.0	6.731	16.936	4.183
vgg13_bn	222	-1	0.0	19.644	8.041	3.331	0.0	18.059	7.639	3.004
gluon_resnet50_v1b	222	2	0.0	13.855	18.396	7.186	0.0	11.027	17.998	6.058
cspdarknet53	222	2	0.0	2.92	11.879	0.881	0.0	1.977	13.062	0.792
gluon_resnet101_v1c	222	1	0.0	6.142	16.913	3.2	0.0	4.728	18.048	3.142
tf_mobilenetv3_large_075	222	0	0.0	1.48	12.808	1.573	0.0	1.244	9.665	1.26
semnasnet_075	222	1	0.0	0.93	18.947	2.179	0.0	0.655	20.261	2.233
resnext50d_32x4d	222	0	0.0	4.61	23.373	4.805	0.0	3.994	21.677	4.299
xcit_nano_12_p8_224_dist	222	-1	0.0	11.092	0.346	0.038	0.0	9.534	0.332	0.037
